recid,givenname,surname,suburb,postcode
6297898,mark,asprey,milsons poijt,2061
2212622,yolanda,ball,jerrabomberra,261q
5077169,jill,jensen,southerm river,6110
6376583,christine,yetfoyz,bankstown,2200
2056419,greg,vu,duracbk,4077
6395519,erkc,metlikovec,churchill,3842
1478931,robet,brown,woolloongabba,4102
6605367,todd,pearson,narrabri,2396
4697536,mariem,kinh,shellharbour,2529
311618,veira,faulkner,clayton south,3169
406541,barfy,levy,wahroonga,2076
2021611,ryan,lander,glenelg,50q5
4250324,william,lacey,covves,3922
2474078,john,murphy,hawtborn,3122
3517302,barry,boojer,maffra,3860
3521551,kenrieth,bell,marangaroo,6064
6609501,peter,farrugia,bacchus marsh,334o
5671953,emmanuel,ilson,paddington,2021
1164985,mimg,laszlo,heidelberg west,3081
2704908,frances,nation,bronte,20z4
1007277,rob'ln,whitney,craigmore,5114
5190061,richard,hatzickourtis,bentleigh east,3165
371624,jeffrey,alldridge,calwell,2q05
7277,michael,tran,lal0r,3075
2707914,snezaria,johnson,sorell,7172
4972985,david,mrash,orange,2800
187112,debbie,lindon,glen iris,3146
4164639,ruth,summerfield,ashtonfield,23z3
428652,alfredo,wils0n,east melbourne,3002
2358214,agnes,fernandes,bex|ey,2207
6002451,louise,watkins,westmead,214s
668921,willieam,burton,lake illawarra,2528
5823901,david,bruce,gosse,52z3
1448996,allan,oddie,wangaratra,3677
4547405,colin,teastale,mount tamborine,4272
1448568,mariltn,ripper,kalorama,3766
3237348,janelle,stoff,wynum north,4178
5360924,dorothy,boehm,swan hkll,3585
3404212,dorothy,tasker,windang,2568
5651709,margaret,newton,cootoongup,6168
6201226,desmond,wri9ht,raleigh,2454
5782615,keith,mazon,mays hill,2145
3643917,car0l,keeley,cecil plains,4407
6575518,sally,wiliams,bairnsdale,3875
6136424,karolyn,tybell,stuart park,0820
3206898,romeo,hood,padthaway,527|
2643330,andrea,riggy,bondi,2066
3236208,althea,nanscawen,baljina,2478
1643419,dewani,gallace,concord west,2|38
3759001,peder,barnes,garfield,3814
1432866,stusan,swift,wulagi,0812
1723119,robyn,vanwyk,south bunbury,6237
5656290,yl,pascual,glendenning,2761
5968359,alis0n,giangiordano,ballajura,6066
2976312,drazenka,murpy,darraweit guim,3756
77115,eu,schneider,labrador,4215
4958767,margaret,ratharanjithan,wantirnq south,3152
5976257,thomas,turner,chittawa7 point,2261
6090063,karem,pezet,emerald,4720
108334,leslrigh,van dugteren,moree,2400
4921099,brnet,flynn,kyogle,2474
5875846,olka,kelly,boronia,3155
3737391,micbael,yiu,glen huntly,3163
3116921,mustafa,alexander,oakleikh,3166
6217181,paula,proudlock,taree,z430
4607683,rajah,motton,lang lan9,3984
2555510,sve,kyriacou,ardeer,3022
6228557,chinyen,marendaz,marsgall,3216
6697432,john,kerr,frenchs forest,2o86
5737041,thiam,caldwell,cootamundra,2594
4482822,shane,mcmahon,bondi,20z6
5890183,l:dia,bramham,nilgen,6044
5168665,jame5,draper,loftus,2232
1641786,yan,mccann,moorebank,2170
6024940,weronika,tyson,ormistton,4160
6616793,wayne,mildren,dick7 beach,4551
752629,stephen,roscoe,orange,2890
1348581,holly,turner,vaucluse,203o
6388740,barry,hooper,peterhead,5o16
3333509,jing,shearer,mount eliza,393o
1792871,mary,murary,aspendale,3195
73612,markery,muhar,oakleigh,3166
185402,mary,hughes,w0donga,3690
291495,wency,sacco,croydon,3136
2405035,damian,wilson,greensborogh,3088
1133350,janell,d'andrea,mill park,3082
4986899,robert,richardzon,pascoe vale,3044
4032578,carlos,jenzon,carlisle,6101
1785667,my,thorp,watsons pay,2030
5154922,janet,beven,east risdon,7o17
2264139,heidi,l:ambas,lower templestowe,3107
2750593,perrco,finnick,condell park,2200
5718294,osama,nash,reservoir,3o73
6890291,michelle,ilson,umina,2257
1239918,wendy,alcalde,me4rylands,2160
2976779,stephen,sargud,yamanto,4305
1970907,stephen,ayefrs,bunbury,6230
4691830,john,dutton,waterloo,2011
1141543,jarrad,smith,raymond derrace,2324
3664612,janet,pugh,breakwater,3229
3015374,jane,protti,wembley,601q
2154049,mary,fletnher,mayfield,2304
6574364,cliff,lovv,armidale,2350
5197340,suzanbe,simpson,lindfield,2070
6290255,margaret,fithal,lane cove,2066
1495617,frani,medway,gunning,2581
700398,wenndy,ward,ararat,3377
3329976,bryson,pitt,lucindale jouth,5272
5602771,celeste,carsburg,beaudesert,428s
3754635,derek,puls,milawa,3658
6116056,fred,williams,kingscliff,2417
4112478,wavne,lediott,greensborough,3088
142275,ckim,wood,gulgong,2852
4146946,shawn,weel,balwyn orth,3104
324703,shou,leman,toooomba,4350
3143020,susan,moody,highgate hill,410l
5620362,helen,maalii,yagoona,2199
1737705,broolce,pipinis,barmera,5345
1488050,pamlea,farley,maitland,2320
1977055,jennifer,papalo,st johns park,2176
6787812,susan,blackmore,shdlley,6148
3129213,annette,krawcdyk,whyalla,5600
1840682,joyce,brebneah,belmont,3216
4046349,tracy,johnston,lidcombe,2141
3391513,colleen,wickremasignhe,berwick,1806
1853244,william,mcdoukall,wembley,6014
5144141,joarine,maxwell,emerald,3782
3164073,dona,carroll,broadmeadows,3047
5476657,joshia,stringer,port broughton,5522
6373774,ckaren,sheman,killarney heights,2087
1303478,demeta,griffiths,newtown,3220
912389,kyung,elton,korop,3559
1968757,ne'll,minnett,toowoomba,4350
1286999,itala,prednergast,bairnsdale,3875
4800308,barry,thomson,daisy hjll,3465
3718711,enza,joyes,tetrigal,2260
1902938,sharo,mitchell,belmont,2280
113051,pamela,kerr,glenrov,3046
6642379,karen,roderick,wagin,6335
1291663,duncan,grin,yamanto,4305
4378033,pilip,mcsweeney,sunnybank hills,4109
6463799,marion,melbocurne,prospect,5082
2626034,rebecca,williams,ballarat,335o
5899398,andrew,liscia,yokine,6o60
1653566,veronica,mayne,scarborough,4090
3014205,christine,goodwin,goondiwindi,439o
3256873,wiztin,mcdermott,tamworth,2340
4159118,marrin,allan,como,6152
1265791,dulcie,forrester,mack5ville,2447
3712945,james,exarbos,redfern,2016
6515328,reloecca,warner,worrigee,2540
2188242,leopoldt,symnds,grange,4051
1096047,ik,exelby,puderim,4556
5504978,joabne,skontos,dutton park,4102
81299,christine,tofiriga,hillside,3037
3476011,fiona,guyer,busselton west,6282
5262445,anthony,jognson,condell park,2200
2394426,james,de broughe,bracken ridge,4012
2668904,pe6er,warren,chatswood,2067
6394565,graec,byard,mornington,7018
4349764,raymod,banderpol,meadow heights,3048
3737909,rosemary,pham,maroupra,2035
2718009,carmel,lee,lorton,5333
3139836,katheleen,watson,koonawatra,2530
2703507,roberto,hrrison,westmead,2145
6910003,michelle,shipard,tabls top,2640
1497474,coralie,basnayak,mount waverley,3149
4597171,lina,houldsw9rth,nowra,2541
6639162,helen,howard,inglewoot,6052
1525056,tahni,phillips,safety bay,6169
1081851,john,carroll,wsmbley,6014
1349846,barrie,orkney,kingsley,6096
1894929,kenneth,dower,alice springs,0830
4484273,chad,timp5on,terang,3264
2264476,helen,colli5on,bracken ridge,4017
4393770,justin,smith,wynn vale,5128
2803314,robeaht,donald,st kilda east,3183
3503816,fioan,mills,footscray,3011
2756992,joseph,chan,robona,4226
4067060,moy,schmid,haddno,3351
2096868,janet,keer,ashmore,4214
472113,daniel,swenson,meringandan,4357
3046684,robyn,titterries,eden,2551
4633480,sugn,mclean,mullumbimby,2482
3520760,hamish,mcnines,telopea,2117
1665661,mar,milner,miranda,2228
99896,hazel,angeles,kedrori,4031
6450152,ajdy,connor,north adelaide,5006
2975894,wayne,gibbz,empire bay,2257
3883370,christofelia,albergo,newmaahket,4051
5032555,jan,gibson,scarboro8gh,4020
5607123,peter,astill,coonamble,2859
4205615,maureen,baker,west beach,502q
1691418,judit,rowston,laverton,3028
2726996,brian,wilson,forresftield,6058
1415432,lorna,blacl<low,lindisfarne,7015
2366613,joseph,truloff,loeood,4311
4532025,andrew,briton,jubilee pocket,4802
1550852,joseph,bassola,glenfield,653z
6584175,zulia,mcgee,laguna,2325
4256576,anettw,boundy,whitebridge,2290
1049259,keith,mathews,toontabbie,2146
760989,wendy,nicholj,gundowring,3691
842504,ja,harvey,st marys,2760
300420,alison,waterson,essendon,30q0
4548501,margaret,croft,teralba,2288
6049334,lawrence,tinkebey,toowoomba,4350
4021534,ralf,bishop,kallangur,4503
6676889,un,marler,castle h:ll,2154
592779,josko,reddy,nortbmead,2152
3734921,patrick,dix,bull creek,6159
5448285,wan,binos,kaleem,2617
4934378,john,hart,chejsea,3196
5789615,scott,patch,sylvia vale,435s
3515379,addolorata,cresser,woodrige,4114
4744514,tuncan,kay,kilsyth,3137
554661,ethel,kisana,south wentworthville,2145
5793229,evangeline,medhurst,fig tree pocket,406q
2050114,angelo,cusio,kedr0n,4031
3171080,ian,bhashkar,kallan9ur,4503
4506134,zuk,rammuni,north ryde,2113
64030,yvonne,daky,woomera,5720
6804771,yvette,tundon,bremer bay,6338
2775814,gayle,hilton,edmonton,486q
2857077,kerriann,minnkin,gunning,2581
6633779,garu,jackson,penrith,2750
1874679,jessca,scholte,ardeer,3022
1425213,katie,houston,logamlea,4131
6287941,mar9aret,manalo,ryde,2112
6704323,jefrfey,bennett,lisarow,2250
6209451,jian,fjett,cashmere,4500
1427028,chao,finnegan,beverley park,2219
756780,barry,ge1>ei,south hobart,7004
1822750,roy,norris,caves beach,2286
172434,stepben,fanti,blackwater,4717
4789462,gilbert,irvin9,beaufort,3373
3323343,christone,russo,dingley village,3172
1822802,jillian,hinklye,karrinyup,6018
4913307,kathryn,ami,dingley village,3172
70017,greogry,fogarty,port macquarie,2444
4231416,christopher,gaundar,doonside,2067
6632959,m0i,bowden,gulgong,2852
2876784,joji,all5pach,manly,2095
5846149,gepoffrey,bulger,yorkeys knob,4878
2023669,gayle,trani,five doc,2046
3606046,kym,sandwrson,morningside,4170
3098026,stella,eckert,manon,5043
3129128,faisal,lo,balgowlah,20g3
4453303,elizabetb,kelly,woodford,4514
855405,lois,wagenfeller,sheaoak log,537l
840624,lindsai,carter,brighton-le-sands,2216
559915,deborah,friebel,robertstown,5388
2148317,helen,forbds,windsor,3181
2122591,kennerh,jamieson,holland park,4121
3061494,jame,mcinnes,springvale,3171
6504035,lauren,fernando,kinross,6078
3822438,mervyn,memisoglu,kings langley,2141
1735342,kevn,woolcott,rochedale,4123
4784174,decima,le,melton,3337
4150557,shaahron,nicholson,collaroy,2097
126997,roje,hamit,footscray west,3012
34138,martha,bate,mount stuart,70o0
3491694,bernard,newbery,monash,2905
98180,andrew,rodcla,wudinna,5652
3487991,lyndal,heese,belleive,7018
1145566,nooralsah,cleary,east wardell,2477
6368667,marilyn,clarke-duggan,bentleigh,320q
5977006,ashman,howard,wembley,6014
697427,annechien,renton,newcastle,2400
5305207,mieke,carter,pyrmond,2009
481478,naamet,sanderson,dulguigan,2q84
4945448,summa,jones,heathfield,51s3
6752648,tonia,stomasundaram,glenwood,2768
1361664,tracey,lamh,tuncurry,2428
2889892,melanie,talotta,gymea,22z7
5017924,wayne,tadich,mo0rooduc,3933
4438531,jane,sykse,wonga park,3115
4058077,zennifer,watson,revesby,2212
1739547,alan,croft5,blaxland,2774
2511755,jas0n,madigan,ballarat,3350
125218,julie,marshall,caztle hill,2154
5182692,liza,field,green poind,2251
2139495,bevely,ryder,flaxley,5153
4986009,daniel,penna,williamsmtown,3016
6436024,lesley,fai2i,milton,4064
5582079,alison,bakeah,albert,2873
5129618,jane,junor,rozelle,2031
1949428,dianne,spencer,raymond islund,3880
5873378,wendy,antost,parkdale,3194
2493253,maria,jang,cabanta,2137
6533385,susan,barnarc,taree,2430
4226919,john,mancienne,rooty hill,2746
4204451,shirley,wbiting,lane cove,2066
2544170,kevin,carter,ferntree gully,3056
2866674,gertrude,stainer,alice springs,087o
6559770,trapy,bailey,bunbury,6230
3905334,jean,piggott,lithg0w,2790
2940865,judith,fielke,hermannsburg,087z
2215518,john,godbold,main beach,4917
4072497,kok,tunn,mountain creek,4557
1970338,warren,higgins,goolwa,52|4
2327812,gladsy,noonan,singleton heights,2330
3567708,marv,vermeulen,brooweena,4620
3208303,luk,leadbetter,berwick,3806
1661510,pat,anderson,annanclale,4814
4851659,paul,fumer,shoalwater,6169
6591850,david,maksimovic,jandakot,616q
5079033,winifred,haw,evatt,26|7
4469723,christopher,liem,west pennant hills,2325
2594202,robert,davies,mindarie,603o
5005034,barbaar,read,camperdown,2050
3574787,tammy,stuiver,prejton,3072
497157,brian,mitchell,wantima south,3152
244912,ken,mitchell,menoria,6050
3919051,carmel,tatt,blackburn,3130
113067,roger,larkins,tweed heads south,2q86
3464990,matthew,campbell,mond albert,3127
2157071,susam,rashleigh,kew,3101
6660130,morgan,adams,mudgee,2853
4276589,vanessa,cunningham,cabramatta,2|66
5409533,diane,wilson,browb hill,3350
4864994,susan,hamilton,burleigh heads,4250
2704406,gregory,lieschke,mitchelton,4052
3359478,kin,craig,denningtoyn,3280
4460300,graeiiie,blampied,clarkson,6030
1237245,bahrwm,baker,kambah,2902
2049157,ana,osmah,preston,3072
4866176,kathleen,shearman,muswellbrook,2334
4216948,gaida,lo,st johns park,2l76
5546417,cheriie,knickrehm,armadale,6112
3073204,clive,ledwich,fi9 tree pocket,4069
6269440,vasilios,tigan:s,malvern,3144
1155951,joann,hanson,lindisfarne,7015
2424144,vinvent,laurie,hughes,2605
368496,philip,peacoc,albury,2640
2839166,robett,vickers,woodside,5244
6036535,ralph,biffen,glen iris,3141
3553238,hajw,marriott,ocean grove,3226
1280799,julie,silver,ridgewood,603o
3972568,richard,kau,tooligie hill,5607
2468942,pamela,wilson,strathalbyn,5z55
2931492,sulie,mack,kallangur,4503
2651809,puspavaahy,bhikharidas,alfredton,3350
196670,mahmoud,minchington,highfields,4452
4087688,david,lyndon,karratha,671q
6525067,elizabeth,edgar,lysterfild,3156
4683913,bernard,dillon,capela,4702
3838450,kirsten,fecbner,surfers paradise,4217
2669298,lisa,pole,port pirie,5740
5137202,geoffrey,cosgr0ve,goulburn,2580
1922450,john,l3e,aspley,4034
3112623,peter,teruong,leanyer,0812
1337698,michelle,parkhill,avalon,21o7
3782928,bwrry,colson,warwick,6024
6411248,david,venn,hamilton,2303
5047905,joan,tsintsiras,hillsise,3037
6523916,marjan,mkdonald,emerald,4720
1836980,marlene,vimes,sunshine,3020
1232781,ellen,phillips,st james,61o2
19006,peter,deaj,bardon,4065
480429,kristy,white,glerielg north,5045
3451554,cecil,foley,rosemount,456o
4624606,brendan,wallis,huonivlle,7109
2261067,adrian,stecwart,cronulla,2230
3690397,jason,flitcroft,staff0rd,4053
4291732,john,bridke,camperdown,2050
4122337,jill,trew,brighton,3136
5486256,grahame,pan9,birrong,2143
271951,katherine,thu5ston,loxton,5333
3942516,lois,midson,wodoriga,3690
6834399,warren,mcauliffe,rcihmond,5033
1149903,vittorzo,woolgar,murarrie,4172
4861742,julie,hawkiris,bayswater,6053
665185,francis,barling,narromine,28z1
3036697,brian,kelly,flemington,303|
6115937,raymonde,norris,redcliffe,6108
6371484,garty,hanley,montrose,3765
3236055,lynette,zo7,canterbury,3126
5147607,phyllis,cullaing,ararat,3377
6004279,regjna,upton,port macquarie,2444
2324757,maiia,barnet,revesby,2212
139504,thai,duce,chuwae,4306
1366383,fayrouz,daylor,chirnside park,3116
3853611,mandv,ross,allambie heights,2100
902882,cheryl,johnjon,crib point,3919
3457238,gayoe,loveridge,hurstville,2220
4700344,amanda,sullivans,avoc abeach,2251
2502949,ian,bartno,minyama,4575
5302348,gelindo,georgi4vski,banksia,2216
5681122,shirley,lewus,matraville,2036
2322407,doreen,pulley,rochedale south,4122
4456411,vaye,baremans,quakers hill,2763
847741,angela,map,pymble,2073
927842,denmis,braybrook,newport,3015
5496142,catherine,carter,figt4ee,2525
6270837,jamed,roberts,castlemaine,3450
2546867,violet,powel|,neerdie,4570
3213025,nols,jones,ringwood east,3135
580961,jason,greenlees,port madquarie,2444
6857497,maureen,dowling,cremorne,2040
4565461,glenda,smith,nambucca heads,2447
1337046,kolin,cairns,leeming,6149
5119670,marissa,barjer,lane cove,2066
3996810,karen,raco,werri beach,253q
6740317,enza,castrignano,rosebud west,39q0
945272,janice,wiltshire,gordonyale,4865
3145777,steven,pye,tintinara,5261
1601482,catherine,martin,ckotara,2289
4387621,tomislav,ba'lley,torquay,3228
5270390,nigel,leggoe,ashfielc,2131
4776176,debloie,hughes,toormina,2452
3700216,sharon,campbell,richmond,3120
6190700,asoka,petridis,seaton,5o23
1925300,john,vaify,brunswick west,3055
2951644,ruth,ebrill,corrjmal,2518
3953988,tammy,watterson,temroa,2666
6662184,kennetb,streater,currumbin,4223
4029740,frances,nightingdale,bentligh east,3165
6294192,janice,christian,windaroo,4217
1649220,petra,wor|and,moorooka,4105
3067549,salvatore,labour,narwee,2409
1411109,susan,jarvos,emu plains,2750
4926559,johannes,bolitho,daky,0822
5734870,atohl,hodge,cheltenham,3192
1524929,shirley,wella,wheelers hill,3150
3780952,jalvatore,elliott,donald,3480
2436392,stella,rai,hay,2711
2432500,kvi,verwey,norlane,3214
6887566,sheila,hawke,bruce,2613
326033,alan,garnble,collingwood park,4301
563397,gregory,collacd,bundaberg,4670
443473,aileen,ljff,cowra,2794
3697240,marilyn,ryan,newland5 arm,3875
2712503,jhelley,fulton,burwood,3125
4077581,tu,koh,diane|la,6059
6729000,alexander,graham,blairgowrie,3982
3864461,roslynn,rizoski,peakhurst,221o
6819511,janine,scheiner,davidson,2087
3107897,brvce,sirio,mount waverley,3149
1256991,leanne,tadic,cec'll park,2171
4228889,amanda,mills,to0ra,3962
610266,geoffrev,campbell,laidley,4341
2767010,wendy,gunaratnam,clayton,3|68
6705240,micael,fife,lindfield,2070
2258270,john,tregenzz,alice springs,0870
831052,teena,holland,esperance,6490
3315928,ckaren,peel,edens landing,4207
2446958,iris,murray,craigieburn,306q
3472195,philip,kershaw,mountain creem,4557
6134266,douglas,campbell,califorbia gully,3556
4312060,sellayah,scott,clarence gardens,5037
1352116,zephaniah,holt,kingsclidf,2487
6558290,vit0,singleton,maldon,3463
1541960,stephen,o'loughlin,kalgoorlie,643o
2015819,brett,bolonja,bo hill north,3129
5942242,cynthia,bjrke,port macquarie,2444
1635780,paul,honeybprook,ashfield,2131
4332588,maahgaret,hedditch,earlwood,2206
5741376,trevor,chanders,bondi beach,20z6
4756699,irene,bright,mullaloo,6026
5572520,elaine,norrbs,herne hill,3218
3372374,john,fergyson,bluewater,4818
4505709,pauline,spencer,alexandria,2045
6866588,nicholas,scott,west0n,2326
550478,nerrida,bellij,mermaid beach,4218
3917671,annamaria,ryan,naine,5252
5977317,marino,wynter,eacstwood,2122
984437,scott,bourne,torrens psrk,5062
5296305,warwickg,green,naracoorte north,5271
1640523,kim,hale,mount liza,3930
6278625,rebecca,bond,cambewarra,2541
2995130,alan,zouthwell,rockingham,6168
5886298,desmond,baldwin,parkdale,3184
2683527,norsidah,pozo,north strathfield,2139
4025889,carolin,jose,attadale,6106
1957355,gino,walker,nedlands,6005
2728325,ruht,grant,gymea bay,2227
1239203,barbara,steel,bellevue hill,20z3
3679763,yu,porter,kingaroy,46|0
3789864,maria,rodrigues,canning vale,615s
5286066,susan,chambers,east victoria park,6131
3205664,joam,pillenger,wandin north,3139
3583397,madeline,dean,parkhvrst,4702
6119583,oen,moellenbeck,kitchener,2325
5235397,john,hilton,ocean grove,32z6
4577028,oswald,price,dingley village,3872
6059525,simone,raro,burwood,2134
266117,jacqueline,kearnei,matraville,2036
4703688,keneth,lea,bangalow,2479
692852,andro7la,norwood,cronulla,2230
1504185,lyn,alvin,toowlomba,4350
6826020,evelyn,klye,hillwood,725z
1953229,james,bell,rusee,2560
1747707,muriel,nunj,australind,6233
3560210,pauline,gardiner,go0lma,2852
5935468,brenda,kouts,balmain,2045
3031912,douflas,macfarlane,balmain,2041
2775133,maureen,mardurano,lalor,3075
5126732,argie,clrk,labrador,4215
2532506,katina,daniels,narellan vlae,2567
1059269,karol,gambling,paralowie,5108
6270652,heldita,morris,cedar grove,4289
6685596,rong,parkhert,sarina,4737
4351588,judith,magill,coiiio,6152
2656207,megzn,guster,forest hill,3131
5112155,paul,gardner,hollant park,4121
3241586,krzysztof,belz,yeppoom,4703
275067,owen,francis,glen iri,3146
3747418,elsie,blaess,elizabet bay,2011
6067294,phyllis,price,mildvra,3500
5051754,christine,hams,eagae vale,2558
3463512,anne,li,west ryde,2164
3599513,evorine,wynd,bentleigh,3204
2431612,lez,loudon,seven hills,2147
3341561,travis,hanley,bracken rid9e,4017
4408490,richard,ashford,we|lard,6170
3622879,martin,houston,millmerran,43s7
4224243,mark,mcgrath,cronula,2230
4032474,david,latham,adamstown heights,228q
2649394,yijian,gray,bednigo,3550
6912819,james,lu,carlingford,2|18
4016016,david,dodcl,rockdale,2216
5462093,patricia,clark,davistown,225|
1446707,patrick,emmett,maroocbydore,4558
2930534,michelle,cue,sunbury,342q
2178463,jon,mander,dry5dale,3222
6785477,karwn,hanns,nyah,3594
6118225,jean,phillips,midlde park,3206
4104391,heleri,grolman,wodonga west,3690
6705927,sue,anker,wangaratta aest,3677
5679845,jacquelije,creek,haven,3401
2545198,penelop,heading,modbury heights,5092
3635915,raymond,friis,lockinfton,3563
2778616,francis,lougyran,sandy bay,7006
991572,sara,kindinger,glen alpine,256o
1700750,joaqjin,bowditch,ingleside,2101
1852188,oleg,phyland,couna,3568
1060794,nikolaus,vegar,anndndale,4814
1353908,lauren,le sovef,scarborough,6019
3830316,leoard,sargent,cobram,3644
4279673,graha,clarke,mayfield,2304
6910129,martin,stranks,albany creek,403s
301579,margaret,mclellan,gympiw,4570
2709656,leoriie,thomas,fitzroy,3065
527060,wayne,savill,alexandra hills,416l
103719,dianne,smith,wantirna,31s2
4310895,wilma,burgess,palmwoofs,4555
5798560,hue,jones,kew,3101
6555208,jane,stephenson,leichhaahdt,2040
5651003,danile,williams,quorn,5433
1645645,george,nugent,geradton,6530
5793522,noela,sara,st albans,30z1
1435659,stusan,webster,kingsford,2032
4445549,gye,santamaria,rushworth,361z
5811744,domenico,bucknell,wodbine,2560
340480,brinda,zareba,noble park,3144
6750088,charles,kyanga,meekatharar,6642
1612256,peter,nagel,fitzroy nocth,3068
3264317,philoip,schembri,cheltenham,3192
2247351,jodee,gleeson,tweed heads south,2q86
3074657,rosario,kibg,malabar,2036
2872494,petdr,leicester,warradale,5046
1604424,afaf,crarie,kongal,5270
6630554,robert,geysing,wheatlands,46o6
3009073,michael,skedrs,redcliffe,6104
10137,robbert,davis,kempsey,2442
2874487,danibl,cross,toolamba,3614
3035768,nawal,hasenbein,kihgsley,6026
2203833,bruno,craik,somerville,6430
4951920,leanne,wain,burleigh heads,422o
526637,judith,del1ar,lennox head,2478
1130332,egon,mackay,tinkalpa,4173
4632603,sidney,howlett,warrnambool,328o
206326,foong,churchin,gymea bay,22z7
2131995,kenneth,bahc,moonee ponds,3039
5765315,patricia,a2narez,monterey,2217
1088103,bryan,chang,potts point,2011
952146,gabrielle,sturgeon,hawkee,2614
6424702,joanne,magnay,alicei springs,0870
2690354,ivor,pagw,adelaide,5000
4365549,patrick,berqry,dapto,2530
6429602,gayle,mansfield,st keorges,5064
4214060,anello,nguyen,mitkhelton,4053
1716105,simon,martelli,ingleood,6052
4087678,donna,quillerat,devonport,73l0
5419858,robert,phommaly,theodpre,2905
5814680,micgael,nanscawen,dingley village,3172
1081344,chris,mitchell,mount ousley,251g
501227,keneth,turley,flying fish point,4860
3684215,nixolas,harris,brookfield,4069
581937,kevin,elliot,ingham,4850
6486026,joseph,cbang,greenacre,2190
5975021,martin,carney,keith hall,2q78
1558845,chris,collins,ponville,2441
2457877,theodora,whitfield,noosavilile,4566
118105,shelley,francis,st marys,276o
594588,elizabeth,ammunson,tweed heacls,2485
814074,norma,gason,wantirna south,3155
6322800,carmel,schneider,minimbah,2392
2115912,julie,dowling,mount karnet,4872
4477570,john,dunn,broken hill,2880
3158562,tegan,we1>ber,wardell,2477
6304949,leonard,mcc0rmack,chelsea,3196
5108589,jamie,perrott,burleigh waers,4220
5796797,brian,rendevski,shepparton,363o
6871838,neil,lee,burpengari,4505
3157814,jillian,hu,lakemba,2395
3263475,dimitrios,d'alessandro,oakleikh,3166
6358912,roena,cheung,donvale,3111
2453473,constantine,nash,bunjyndore,2621
4258393,david,marshall,rasmussen,481s
1227776,deanna,cole,cheltenham,3112
2922717,maria,litchfield,baliarat,3350
6812160,sylvester,attwood,alfredton,3358
6311693,neil,smith,hawthorn,312z
5475897,jenny,pearce,leemong,6149
859077,neville,jalisbury,port melbourne,3207
2964552,margaret,field,wesrleigh,2120
6593801,jason,frmgosa,woonona,2517
5369709,garie,scarff,melton south,3338
3331010,tanya,heuer,victoah harbor,5211
3498758,monica,drupka,mount pritchard,217o
4676646,paul,strasser,mount annan,2s67
1627555,magda,lehman,byfort,6122
1980147,lisa,gorton,gnowangerup,6335
2065157,sundip,mcgeorge,blacktown,21q8
1100043,bradle6,hall,hawthorn,3122
6662493,karen,van der hoek,gladstone,468o
2087336,suwan,brookes,drake,2469
5491958,joan,hardy,wudford,4514
821626,zandra,kantich,andamooka,5722
422040,thoma5ina,potter,chambers flat,4133
463530,joyce,urbaniak,calwgll,2905
2919049,francis,penham,bellarine,3221
1139107,david,fred,flemington,3031
1124666,toni,limke,sunlands,5330
2608922,thinh,gerow,greenwith,512s
5314678,phillip,speed,burwood,3129
5424270,kenneth,morrison,nortchote,3070
5197654,catherine,isaacs,maylands,6081
3350529,susan,par1<,stony creek,3957
6123900,raymohd,thomas,north manly,2100
714239,aifa,reed,carrum,3197
2152131,kerry,tasevski,eppink,3076
3944989,dobnald,evans,upper sturt,5156
5594494,ronald,tomasi,lepold,3224
4737779,julie,bermingnam,broken hill,2880
6453259,sally,erkkila,coldwater,4851
1053988,shaneh,gray,kingston,4114
5429340,lisa,lumxis,como,2226
5245868,ivan,aragona,moorapbin,3189
5398604,brunella,spurr,mrarickville,2204
2409847,glennis,huack,woonona,2517
3536080,gregory,williams,tatura,36|6
409707,gabrielle,fitzpatrick,edith,2785
5950158,george,lew:s,noosa heads,4567
1668039,peder,begg,greenwood,6024
5569011,helen,neilsen,woodberry,2328
3965637,trevor,thornewell,cloyelly,2031
4325846,sinja,macpheahson,mooralla,3314
424443,keuin,spencer,yagoona,2199
5536105,peter,stuwt,tumut,2720
6794311,katie,dumstan,unley,5061
4891378,alan,kingsofrd,casino,2470
3279367,neisha,sutherland,robertson,2s77
2948173,margaet,menjivar,dandenong,3175
4188886,katie,makay,crib point,3919
4019101,olib:a,powell,paddington,4064
4425831,brentan,seschy,auburn,2144
6523885,sky,scholes,heidelberg,3084
6130285,stuarit,silvia,kenthurst,2156
1844354,carol,pirikq,sunrise beach,4567
2843270,michelle,sun,chatswood,2064
3749169,boris,askevv,swanbourne,6010
5152516,samia,alexaner,west end,4810
1250846,john,hancok,ballina east,2478
4768666,stephetn,rennie,bundaberg,4670
3201593,natalioe,siminsky,balmain,2041
4207785,grahagm,dreier,silkstone,4304
1321291,beverly,saunders,kondobolin,2877
410129,louise,catlin,quarading,6383
3154001,aljce,hales,silkstone,4304
2553612,sandra,f'ltzgerald,salisbury east,5109
4417402,rocco,smetana,glenbrook,z773
5676991,bronwyn,mundy,murrat bridge,5253
1579576,zofia,zafiridis,northcoge,3070
3672440,sharon,morton,pergh,6000
6179910,ellen,tomlinson,shepparton,3638
3459551,beatrlce,drury,wollongong north,2500
4193269,simon,bailey,seba5topol,3356
3140851,colin,beverley,labrador,42l5
2829461,christine,prasil,canley vale,2167
1611405,william,lalafiore,burnley,3121
3277563,philip,atson,grange,5022
2136067,cameron,turckeah,auburn,2144
6900533,leewnne,hewitt,main beach,4217
1750385,robert,szelag,biloela,4710
6717559,ann,bradfild,vermont,3133
